l.GN,*/*/1/s,meu/minha/meus/minhas
l.GN,*/*/2/s,teu/tua/teus/tuas
l.GN,*/*/3/*,seu/sua/seus/suas
rO,*/*/1/p,nosso
rO,*/*/2/p,vosso
